epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,110.775,1.52558,0.89208,1.15056,0.65078,0.63894,0.57498,0.27317,1.78563,1.03479,1.32069,0.00123566,0.00123566,0.00123566
43,113.465,1.483,0.86763,1.11454,0.61133,0.67352,0.55883,0.26667,1.84339,1.03695,1.34045,0.00123094,0.00123094,0.00123094
44,115.97,1.5013,0.8943,1.16456,0.60559,0.67181,0.55329,0.26778,1.85826,1.03033,1.33776,0.00122622,0.00122622,0.00122622
45,118.36,1.5122,0.90815,1.14799,0.60291,0.65745,0.5546,0.26822,1.83447,1.01453,1.3389,0.00122151,0.00122151,0.00122151
46,120.831,1.45781,0.87501,1.14918,0.61222,0.63927,0.55578,0.26692,1.84787,1.0142,1.35353,0.00121679,0.00121679,0.00121679
47,123.278,1.47273,0.84293,1.12789,0.60287,0.66195,0.56502,0.26825,1.86063,0.99279,1.35929,0.00121208,0.00121208,0.00121208
48,125.608,1.45493,0.84124,1.11982,0.62015,0.66812,0.58947,0.26883,1.88121,0.98276,1.37648,0.00120736,0.00120736,0.00120736
49,127.977,1.54609,0.92088,1.16259,0.63903,0.6502,0.59887,0.27493,1.84114,1.00736,1.36002,0.00120265,0.00120265,0.00120265
50,130.396,1.46962,0.83392,1.12881,0.71021,0.62453,0.61774,0.28319,1.82025,1.00404,1.34998,0.00119793,0.00119793,0.00119793
51,132.77,1.4769,0.85132,1.12107,0.68156,0.60696,0.59804,0.28008,1.83305,1.06111,1.33426,0.00119322,0.00119322,0.00119322
52,135.406,1.50563,0.88013,1.12303,0.63702,0.6069,0.58101,0.26156,1.88283,1.11667,1.35624,0.0011885,0.0011885,0.0011885
53,138.111,1.49293,0.85613,1.15073,0.62885,0.60428,0.58299,0.25925,1.8969,1.09698,1.37044,0.00118378,0.00118378,0.00118378
54,140.633,1.43774,0.84809,1.10521,0.61853,0.62287,0.59331,0.27309,1.83064,1.03759,1.34399,0.00117907,0.00117907,0.00117907
