epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,121.855,1.0603,0.64338,1.08066,0.97824,0.97556,0.99021,0.65268,1.22509,0.59338,1.19482,0.00144145,0.00144145,0.00144145
43,124.691,1.08263,0.6455,1.07501,0.97952,0.98974,0.99329,0.64908,1.26454,0.60323,1.19859,0.00143595,0.00143595,0.00143595
44,127.522,1.03081,0.63505,1.06528,0.95482,0.99281,0.99081,0.64353,1.28404,0.64086,1.21524,0.00143045,0.00143045,0.00143045
45,130.333,1.04442,0.66312,1.0685,0.92288,0.99209,0.98724,0.64874,1.27955,0.66975,1.2128,0.00142495,0.00142495,0.00142495
46,133.142,1.03447,0.65875,1.0819,0.92285,0.99235,0.98722,0.65808,1.27151,0.66202,1.21798,0.00141945,0.00141945,0.00141945
47,135.97,1.022,0.65268,1.08402,0.96482,0.97142,0.9907,0.65793,1.2276,0.61881,1.18914,0.00141395,0.00141395,0.00141395
48,138.813,1.06358,0.64104,1.07815,0.98644,0.98691,0.99195,0.66403,1.20097,0.6268,1.17768,0.00140845,0.00140845,0.00140845
49,141.63,1.05074,0.64581,1.06929,0.99046,0.93028,0.98881,0.6664,1.20654,0.6251,1.18389,0.00140295,0.00140295,0.00140295
50,144.486,1.03997,0.63918,1.06591,0.99,0.92377,0.98845,0.6689,1.19844,0.61016,1.17017,0.00139745,0.00139745,0.00139745
51,147.347,1.02808,0.63329,1.06465,0.97579,0.94021,0.98629,0.65926,1.23043,0.60856,1.19479,0.00139195,0.00139195,0.00139195
52,150.24,1.00494,0.61973,1.06501,0.96096,0.96534,0.98909,0.65142,1.25634,0.59774,1.19787,0.00138644,0.00138644,0.00138644
53,153.051,1.04503,0.63435,1.07391,0.96546,0.95909,0.99049,0.65574,1.23893,0.5989,1.20084,0.00138094,0.00138094,0.00138094
54,155.873,1.00834,0.61366,1.06778,0.96427,0.95345,0.98873,0.66094,1.22204,0.59891,1.19341,0.00137544,0.00137544,0.00137544
55,158.7,1.0119,0.60754,1.07892,0.95952,0.96406,0.98635,0.67028,1.23659,0.59626,1.19158,0.00136994,0.00136994,0.00136994
