epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,112.187,1.35161,0.82722,1.06836,0.73105,0.76143,0.75665,0.38272,1.52879,0.94672,1.1904,0.00123566,0.00123566,0.00123566
43,114.809,1.36129,0.81171,1.06853,0.73548,0.73634,0.74505,0.39316,1.57085,0.91137,1.21758,0.00123094,0.00123094,0.00123094
44,117.421,1.30538,0.79014,1.07528,0.78402,0.71331,0.74291,0.37559,1.58282,0.9184,1.22227,0.00122622,0.00122622,0.00122622
45,119.899,1.32999,0.82363,1.05655,0.78886,0.7092,0.73884,0.37835,1.55934,0.90281,1.20869,0.00122151,0.00122151,0.00122151
46,122.352,1.33144,0.83418,1.08769,0.78453,0.71538,0.76269,0.39118,1.52079,0.87261,1.18856,0.00121679,0.00121679,0.00121679
47,124.892,1.35997,0.80613,1.06206,0.79897,0.70995,0.74826,0.39553,1.53837,0.86008,1.19469,0.00121208,0.00121208,0.00121208
48,127.381,1.32587,0.81559,1.04928,0.73875,0.74052,0.7618,0.39846,1.5823,0.85504,1.21812,0.00120736,0.00120736,0.00120736
49,129.831,1.37002,0.85279,1.09066,0.76922,0.77081,0.77814,0.4101,1.54796,0.85445,1.21252,0.00120265,0.00120265,0.00120265
50,132.342,1.35886,0.78572,1.07359,0.79047,0.75442,0.78336,0.40292,1.5084,0.86203,1.19646,0.00119793,0.00119793,0.00119793
51,134.828,1.36545,0.80757,1.07428,0.7697,0.75897,0.78613,0.40953,1.54209,0.85299,1.22571,0.00119322,0.00119322,0.00119322
52,137.392,1.34348,0.81313,1.04776,0.78512,0.72813,0.76036,0.39803,1.54921,0.851,1.23036,0.0011885,0.0011885,0.0011885
53,139.843,1.38772,0.81359,1.09008,0.75333,0.71655,0.74741,0.39169,1.51738,0.8648,1.20469,0.00118378,0.00118378,0.00118378
54,142.256,1.31582,0.7825,1.05916,0.81009,0.71431,0.78093,0.41799,1.50383,0.8322,1.18519,0.00117907,0.00117907,0.00117907
55,144.733,1.29821,0.78794,1.06206,0.75545,0.74889,0.7742,0.40996,1.50838,0.82636,1.17774,0.00117435,0.00117435,0.00117435
56,147.145,1.26843,0.75774,1.0291,0.80183,0.6845,0.75304,0.39226,1.50549,0.85102,1.16893,0.00116964,0.00116964,0.00116964
57,149.688,1.32597,0.78388,1.05314,0.80106,0.67356,0.73776,0.38289,1.51098,0.86655,1.17273,0.00116492,0.00116492,0.00116492
58,152.405,1.30932,0.77664,1.04747,0.79721,0.7057,0.74376,0.37581,1.5411,0.85152,1.19691,0.00116021,0.00116021,0.00116021
59,155.345,1.27545,0.76648,1.06184,0.78135,0.70644,0.76569,0.38859,1.50384,0.82644,1.19598,0.00115549,0.00115549,0.00115549
60,158.255,1.25922,0.74203,1.027,0.74745,0.73644,0.76105,0.39355,1.52378,0.82743,1.21245,0.00115077,0.00115077,0.00115077
61,161.071,1.31935,0.75918,1.04571,0.72938,0.73428,0.75944,0.38673,1.56603,0.84494,1.24602,0.00114606,0.00114606,0.00114606
62,163.924,1.30354,0.76524,1.06251,0.76716,0.75142,0.76511,0.36945,1.58222,0.84678,1.26133,0.00114134,0.00114134,0.00114134
63,166.636,1.31291,0.76665,1.09139,0.71331,0.73498,0.74855,0.36294,1.58729,0.85787,1.27193,0.00113663,0.00113663,0.00113663
64,169.296,1.27929,0.75031,1.03569,0.77347,0.70246,0.7642,0.38362,1.53413,0.84777,1.23382,0.00113191,0.00113191,0.00113191
65,171.979,1.31842,0.76416,1.084,0.76858,0.72588,0.7641,0.40126,1.51923,0.79345,1.21768,0.0011272,0.0011272,0.0011272
66,174.584,1.32411,0.7771,1.07431,0.76075,0.73152,0.75715,0.40466,1.50472,0.79736,1.21884,0.00112248,0.00112248,0.00112248
67,177.429,1.26129,0.73479,1.05266,0.76748,0.71636,0.75351,0.38035,1.48946,0.82303,1.20169,0.00111776,0.00111776,0.00111776
68,180.146,1.25776,0.74158,1.0447,0.81724,0.73698,0.76201,0.38981,1.49211,0.78875,1.20653,0.00111305,0.00111305,0.00111305
69,182.829,1.28627,0.75149,1.05533,0.79805,0.73719,0.74791,0.39252,1.48996,0.79324,1.20531,0.00110833,0.00110833,0.00110833
70,185.491,1.2041,0.7144,1.01881,0.7682,0.70644,0.72817,0.3773,1.49029,0.83479,1.20434,0.00110362,0.00110362,0.00110362
71,188.097,1.30108,0.76947,1.06378,0.76245,0.70712,0.71399,0.37174,1.50864,0.8215,1.2178,0.0010989,0.0010989,0.0010989
72,190.613,1.29612,0.75103,1.06165,0.75882,0.73026,0.73658,0.38209,1.51032,0.79622,1.21601,0.00109419,0.00109419,0.00109419
73,193.056,1.25092,0.73581,1.05072,0.76269,0.71786,0.75395,0.38881,1.52709,0.78898,1.22803,0.00108947,0.00108947,0.00108947
74,195.586,1.2749,0.72722,1.06129,0.74051,0.75804,0.76045,0.39065,1.54789,0.80949,1.23507,0.00108475,0.00108475,0.00108475
75,198.229,1.23267,0.7455,1.03608,0.76762,0.72421,0.76388,0.39434,1.54843,0.81113,1.23455,0.00108004,0.00108004,0.00108004
76,200.876,1.22428,0.71997,1.02568,0.82026,0.69918,0.75731,0.40413,1.53906,0.79586,1.22685,0.00107532,0.00107532,0.00107532
77,203.422,1.20313,0.70608,1.02806,0.83264,0.69918,0.76265,0.4022,1.52797,0.8151,1.22352,0.00107061,0.00107061,0.00107061
78,206.027,1.24518,0.71556,1.05421,0.79243,0.72514,0.7479,0.38327,1.54344,0.85393,1.22688,0.00106589,0.00106589,0.00106589
79,208.604,1.21128,0.71139,1.04434,0.71851,0.74695,0.7267,0.36999,1.54905,0.854,1.23383,0.00106118,0.00106118,0.00106118
80,211.295,1.23094,0.70698,1.01858,0.82718,0.67434,0.73562,0.36368,1.57446,0.83555,1.25772,0.00105646,0.00105646,0.00105646
81,214.094,1.21588,0.70739,1.0257,0.80639,0.71169,0.74343,0.38393,1.55386,0.81332,1.25952,0.00105174,0.00105174,0.00105174
82,216.996,1.24171,0.70184,1.02877,0.83477,0.71879,0.76466,0.4032,1.51296,0.80641,1.23826,0.00104703,0.00104703,0.00104703
83,219.7,1.22101,0.70699,1.04066,0.77181,0.70627,0.77132,0.40211,1.51343,0.79158,1.23687,0.00104231,0.00104231,0.00104231
84,222.458,1.24359,0.72131,1.04904,0.68196,0.74462,0.74515,0.38913,1.50944,0.7839,1.23893,0.0010376,0.0010376,0.0010376
85,225.312,1.20125,0.70225,1.05852,0.69897,0.75157,0.7167,0.36571,1.5186,0.80006,1.24347,0.00103288,0.00103288,0.00103288
86,227.919,1.20185,0.68207,1.01505,0.73796,0.7288,0.73737,0.37506,1.54272,0.80101,1.25349,0.00102817,0.00102817,0.00102817
87,230.615,1.21307,0.66505,1.02904,0.81802,0.70467,0.74607,0.38859,1.54156,0.80603,1.24958,0.00102345,0.00102345,0.00102345
88,233.415,1.22849,0.70085,1.03406,0.82193,0.72407,0.75447,0.39097,1.55412,0.81486,1.2498,0.00101873,0.00101873,0.00101873
89,236.14,1.23407,0.69531,1.04713,0.81326,0.73297,0.74331,0.38128,1.53461,0.81566,1.24202,0.00101402,0.00101402,0.00101402
90,239.013,1.25075,0.6958,1.04179,0.81399,0.69237,0.74727,0.37941,1.53483,0.81069,1.2465,0.0010093,0.0010093,0.0010093
91,241.919,1.23614,0.6978,1.041,0.81934,0.70898,0.73791,0.3876,1.56522,0.81709,1.26067,0.00100459,0.00100459,0.00100459
92,244.56,1.21039,0.68942,1.02986,0.80843,0.71082,0.73505,0.37269,1.55516,0.84394,1.24939,0.000999871,0.000999871,0.000999871
93,247.135,1.22114,0.70211,1.0479,0.80797,0.70104,0.73341,0.36297,1.52751,0.84507,1.24301,0.000995156,0.000995156,0.000995156
94,249.678,1.21658,0.70358,1.03767,0.79118,0.72023,0.72481,0.36953,1.52369,0.83398,1.24573,0.00099044,0.00099044,0.00099044
95,252.154,1.20253,0.69377,1.04673,0.81919,0.72063,0.74081,0.38198,1.52023,0.80448,1.24052,0.000985724,0.000985724,0.000985724
96,254.701,1.22311,0.68415,1.05265,0.79784,0.73199,0.7463,0.39319,1.54191,0.8029,1.2404,0.000981008,0.000981008,0.000981008
97,257.261,1.18713,0.67168,1.02367,0.80661,0.73591,0.74526,0.38947,1.54095,0.80318,1.23858,0.000976293,0.000976293,0.000976293
98,259.874,1.13274,0.65284,0.99823,0.80505,0.7323,0.75163,0.37013,1.54537,0.81902,1.24436,0.000971577,0.000971577,0.000971577
99,262.55,1.16605,0.65616,1.00142,0.76658,0.76278,0.76136,0.36858,1.51943,0.761,1.24338,0.000966861,0.000966861,0.000966861
100,265.19,1.17505,0.66413,1.03797,0.75889,0.79029,0.77036,0.38031,1.51422,0.75791,1.24201,0.000962146,0.000962146,0.000962146
101,267.913,1.1434,0.65721,0.99806,0.755,0.79531,0.76909,0.3798,1.5231,0.76433,1.24474,0.00095743,0.00095743,0.00095743
102,270.426,1.19296,0.65772,1.01853,0.78154,0.7039,0.73529,0.36432,1.53237,0.77628,1.25475,0.000952714,0.000952714,0.000952714
103,273.066,1.12707,0.63976,1.014,0.75127,0.73498,0.71258,0.34556,1.54945,0.80804,1.26774,0.000947999,0.000947999,0.000947999
104,275.64,1.21131,0.66989,1.02664,0.74921,0.73255,0.70695,0.34905,1.53386,0.83016,1.25759,0.000943283,0.000943283,0.000943283
105,278.215,1.17789,0.66775,1.02496,0.83425,0.69816,0.72289,0.37004,1.51668,0.84495,1.24585,0.000938567,0.000938567,0.000938567
106,280.827,1.17025,0.6621,1.02935,0.74352,0.72351,0.70915,0.36181,1.53221,0.84177,1.25071,0.000933851,0.000933851,0.000933851
107,283.323,1.14777,0.63225,1.01053,0.76027,0.74054,0.7433,0.36584,1.55252,0.8143,1.26846,0.000929136,0.000929136,0.000929136
108,285.868,1.15247,0.64736,0.99456,0.77123,0.73198,0.74807,0.37912,1.5472,0.77759,1.26186,0.00092442,0.00092442,0.00092442
109,288.488,1.1942,0.66454,1.03453,0.74666,0.72501,0.73825,0.38335,1.54642,0.77531,1.24562,0.000919704,0.000919704,0.000919704
110,291.013,1.16927,0.64636,1.01506,0.7959,0.70811,0.7206,0.37099,1.55784,0.7988,1.251,0.000914989,0.000914989,0.000914989
111,293.697,1.14189,0.63435,0.98876,0.75785,0.72296,0.71993,0.35969,1.54905,0.80843,1.25366,0.000910273,0.000910273,0.000910273
112,296.474,1.13453,0.63897,0.99624,0.75368,0.74733,0.71684,0.36418,1.55388,0.80857,1.26197,0.000905557,0.000905557,0.000905557
113,299.239,1.17219,0.65816,1.04673,0.81085,0.69831,0.7192,0.36725,1.5297,0.81494,1.25922,0.000900842,0.000900842,0.000900842
114,302.045,1.13867,0.64837,1.01353,0.70297,0.76422,0.72339,0.35948,1.52529,0.82623,1.25642,0.000896126,0.000896126,0.000896126
115,304.915,1.13531,0.64834,1.01671,0.75801,0.7419,0.74462,0.37783,1.55813,0.80963,1.26898,0.00089141,0.00089141,0.00089141
116,307.657,1.19497,0.64734,1.01332,0.76316,0.72518,0.74407,0.38411,1.53762,0.79969,1.26358,0.000886694,0.000886694,0.000886694
117,310.449,1.11216,0.63457,1.00021,0.72817,0.7411,0.73505,0.37208,1.52765,0.8091,1.259,0.000881979,0.000881979,0.000881979
118,313.186,1.10612,0.62773,1.0042,0.77629,0.70801,0.7358,0.37737,1.51534,0.79049,1.24682,0.000877263,0.000877263,0.000877263
119,316.132,1.15864,0.63683,1.01002,0.76758,0.72817,0.75397,0.38451,1.54247,0.78326,1.25046,0.000872547,0.000872547,0.000872547
120,319.163,1.11022,0.61973,0.98564,0.8302,0.71444,0.76065,0.3905,1.51846,0.77688,1.22695,0.000867832,0.000867832,0.000867832
121,322.015,1.18817,0.66263,1.03714,0.84095,0.70797,0.75952,0.37731,1.51012,0.79858,1.23485,0.000863116,0.000863116,0.000863116
122,324.944,1.15819,0.63693,1.01245,0.80115,0.70985,0.75052,0.37666,1.52774,0.80118,1.24987,0.0008584,0.0008584,0.0008584
123,327.665,1.14583,0.64448,1.01266,0.76483,0.71806,0.75708,0.38411,1.52401,0.79408,1.25551,0.000853685,0.000853685,0.000853685
124,330.446,1.19039,0.66225,1.05036,0.74904,0.71516,0.74846,0.36785,1.55243,0.80206,1.27716,0.000848969,0.000848969,0.000848969
125,333.43,1.17548,0.64005,1.03011,0.73685,0.76151,0.76206,0.37249,1.54848,0.79049,1.27559,0.000844253,0.000844253,0.000844253
126,336.632,1.11901,0.6241,1.00599,0.75137,0.73752,0.75007,0.37916,1.54978,0.78926,1.27318,0.000839537,0.000839537,0.000839537
127,339.412,1.13607,0.62425,1.01433,0.78345,0.73568,0.74205,0.3805,1.52882,0.78835,1.26169,0.000834822,0.000834822,0.000834822
128,342.165,1.11396,0.62041,1.00468,0.82219,0.73009,0.75746,0.38776,1.50611,0.77781,1.24687,0.000830106,0.000830106,0.000830106
129,344.942,1.1171,0.59664,0.99004,0.77976,0.77403,0.77229,0.39392,1.54601,0.7622,1.26171,0.00082539,0.00082539,0.00082539
130,347.452,1.1403,0.63196,1.02106,0.77507,0.75647,0.75981,0.38454,1.54382,0.75176,1.25698,0.000820675,0.000820675,0.000820675
131,349.908,1.09356,0.61576,0.99488,0.68379,0.74907,0.71007,0.35025,1.56902,0.78829,1.27452,0.000815959,0.000815959,0.000815959
132,352.381,1.10736,0.61702,0.99793,0.73895,0.73814,0.72714,0.35502,1.56046,0.78882,1.28031,0.000811243,0.000811243,0.000811243
133,354.874,1.07196,0.6089,0.99477,0.76031,0.75074,0.73215,0.36232,1.53912,0.79629,1.27544,0.000806528,0.000806528,0.000806528
134,357.283,1.11988,0.61816,0.99342,0.75884,0.75525,0.72568,0.36045,1.5431,0.81565,1.27989,0.000801812,0.000801812,0.000801812
135,359.706,1.0908,0.60557,1.00042,0.77225,0.7624,0.73948,0.3635,1.53766,0.81357,1.28222,0.000797096,0.000797096,0.000797096
136,362.068,1.0609,0.59584,1.0006,0.81038,0.7091,0.74452,0.3708,1.55244,0.81797,1.28645,0.00079238,0.00079238,0.00079238
137,364.557,1.07257,0.60361,0.99811,0.78669,0.7419,0.75166,0.37372,1.55549,0.79985,1.28046,0.000787665,0.000787665,0.000787665
138,366.957,1.05122,0.59953,0.98611,0.77157,0.7419,0.75497,0.37451,1.53488,0.78998,1.27547,0.000782949,0.000782949,0.000782949
139,369.452,1.0848,0.60929,0.99685,0.7954,0.73568,0.7555,0.36867,1.53439,0.77375,1.28483,0.000778233,0.000778233,0.000778233
140,371.873,1.05876,0.59439,0.98851,0.77278,0.75105,0.7449,0.36681,1.53812,0.78457,1.28012,0.000773518,0.000773518,0.000773518
141,374.286,1.07665,0.59179,0.98159,0.75446,0.73563,0.73787,0.36425,1.54899,0.80105,1.28254,0.000768802,0.000768802,0.000768802
142,376.734,1.06482,0.59782,0.97356,0.74923,0.70898,0.71771,0.34724,1.57819,0.83622,1.30802,0.000764086,0.000764086,0.000764086
143,379.206,1.05713,0.58627,0.96439,0.73969,0.70397,0.69886,0.33965,1.58721,0.84099,1.3299,0.000759371,0.000759371,0.000759371
144,381.56,1.06509,0.59434,0.99898,0.80891,0.71879,0.73467,0.35703,1.58903,0.80829,1.33617,0.000754655,0.000754655,0.000754655
145,383.985,1.00733,0.56432,0.95261,0.81145,0.69839,0.72424,0.36274,1.57206,0.78676,1.3208,0.000749939,0.000749939,0.000749939
146,386.409,1.03628,0.59318,0.98296,0.79492,0.71736,0.72531,0.36355,1.56093,0.80144,1.30838,0.000745223,0.000745223,0.000745223
147,388.912,1.07357,0.58493,0.9723,0.80906,0.72646,0.73637,0.36855,1.56756,0.80299,1.31219,0.000740508,0.000740508,0.000740508
148,391.291,1.03363,0.58319,0.98452,0.78202,0.70898,0.74176,0.36234,1.59234,0.7895,1.33269,0.000735792,0.000735792,0.000735792
149,393.691,1.04818,0.5855,0.99996,0.77735,0.72492,0.76031,0.35993,1.60177,0.77323,1.34188,0.000731076,0.000731076,0.000731076
150,396.097,1.02146,0.57353,0.96724,0.77602,0.74023,0.75803,0.3536,1.58831,0.77544,1.32628,0.000726361,0.000726361,0.000726361
151,398.568,1.05446,0.58432,0.97869,0.75193,0.75696,0.75795,0.36916,1.57909,0.74812,1.31706,0.000721645,0.000721645,0.000721645
152,400.967,1.00752,0.55217,0.95525,0.76363,0.77132,0.77197,0.37336,1.55974,0.74945,1.29529,0.000716929,0.000716929,0.000716929
153,403.39,1.05985,0.58024,0.9676,0.74958,0.76848,0.76375,0.36715,1.56954,0.76253,1.30254,0.000712214,0.000712214,0.000712214
154,405.825,1.03507,0.57911,0.97556,0.77276,0.73227,0.74654,0.3527,1.58755,0.75947,1.31598,0.000707498,0.000707498,0.000707498
