epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,154.035,0.41357,0.35695,1.01999,0.99797,1,0.995,0.92171,0.3849,0.32028,0.93668,0.0017162,0.0017162,0.0017162
45,157.797,0.39883,0.35317,0.97182,0.99811,1,0.995,0.9425,0.33714,0.28712,0.89733,0.0017096,0.0017096,0.0017096
46,161.713,0.38276,0.33381,0.96982,0.99785,1,0.995,0.91004,0.36989,0.3492,0.91728,0.001703,0.001703,0.001703
47,165.369,0.4224,0.34951,1.00381,0.99795,1,0.995,0.91111,0.40374,0.35554,0.9799,0.0016964,0.0016964,0.0016964
48,169.034,0.44092,0.39945,1.01566,0.99744,1,0.995,0.96054,0.35054,0.31714,0.89868,0.0016898,0.0016898,0.0016898
49,172.616,0.3968,0.36765,0.98014,0.99806,1,0.995,0.96764,0.28917,0.25758,0.85211,0.0016832,0.0016832,0.0016832
50,176.117,0.39334,0.33259,0.95438,0.99794,1,0.995,0.97502,0.30419,0.311,0.87392,0.0016766,0.0016766,0.0016766
51,179.583,0.41393,0.36412,0.99299,0.99261,1,0.995,0.89259,0.51302,0.54598,1.0294,0.00167,0.00167,0.00167
52,183.195,0.38538,0.3366,0.98507,0.9952,1,0.995,0.92265,0.31816,0.37459,0.8762,0.0016634,0.0016634,0.0016634
53,186.752,0.39381,0.35488,0.96255,0.99781,1,0.995,0.95267,0.306,0.34524,0.86617,0.0016568,0.0016568,0.0016568
54,190.202,0.39065,0.32341,0.97916,0.99788,1,0.995,0.95182,0.34395,0.31342,0.85955,0.0016502,0.0016502,0.0016502
55,193.548,0.40229,0.34098,0.98374,0.99774,1,0.995,0.84653,0.60788,0.39317,1.09012,0.0016436,0.0016436,0.0016436
56,197.025,0.38423,0.32198,0.98187,0.99419,1,0.995,0.9615,0.32398,0.28749,0.85389,0.001637,0.001637,0.001637
57,200.789,0.36996,0.32367,0.97364,0.99699,1,0.995,0.93706,0.37161,0.33712,0.89156,0.0016304,0.0016304,0.0016304
58,204.435,0.3824,0.31977,0.98209,0.99617,1,0.995,0.96888,0.32784,0.31437,0.8638,0.0016238,0.0016238,0.0016238
59,208.06,0.37965,0.30386,0.96836,0.99786,1,0.995,0.93903,0.35763,0.2951,0.89537,0.0016172,0.0016172,0.0016172
60,211.796,0.40347,0.34881,0.9935,0.99815,1,0.995,0.95619,0.30509,0.24096,0.85542,0.0016106,0.0016106,0.0016106
61,215.644,0.35926,0.30297,0.97367,0.99817,1,0.995,0.959,0.27505,0.24417,0.82185,0.001604,0.001604,0.001604
62,219.537,0.37876,0.31157,0.96582,0.99814,1,0.995,0.97743,0.2765,0.22548,0.83512,0.0015974,0.0015974,0.0015974
63,223.319,0.3749,0.30017,0.97816,0.99806,1,0.995,0.96102,0.28823,0.23369,0.8552,0.0015908,0.0015908,0.0015908
64,227.02,0.3736,0.30953,0.95917,1,0.99924,0.995,0.96096,0.33939,0.30719,0.91834,0.0015842,0.0015842,0.0015842
65,231.042,0.38946,0.32129,0.99846,1,0.99921,0.995,0.97052,0.31151,0.2754,0.85783,0.0015776,0.0015776,0.0015776
66,235.043,0.37457,0.30193,0.96395,0.9972,1,0.995,0.90793,0.34636,0.34542,0.90054,0.001571,0.001571,0.001571
67,238.753,0.41346,0.32856,0.98991,0.99752,1,0.995,0.93338,0.34938,0.30095,0.88456,0.0015644,0.0015644,0.0015644
68,242.616,0.38138,0.3094,0.95737,0.99715,1,0.995,0.97768,0.32156,0.27501,0.85708,0.0015578,0.0015578,0.0015578
69,246.152,0.38158,0.29697,0.95521,0.99474,1,0.995,0.97942,0.28551,0.27378,0.82087,0.0015512,0.0015512,0.0015512
70,249.624,0.35589,0.29105,0.96658,0.99688,1,0.995,0.97991,0.27391,0.26073,0.82174,0.0015446,0.0015446,0.0015446
71,253.041,0.36053,0.28658,0.9697,0.99799,1,0.995,0.95845,0.29597,0.25254,0.83839,0.001538,0.001538,0.001538
72,256.596,0.36936,0.30039,0.96849,0.99788,1,0.995,0.94149,0.3292,0.26645,0.84798,0.0015314,0.0015314,0.0015314
73,260.043,0.36359,0.29712,0.94966,0.99806,1,0.995,0.95216,0.29462,0.23497,0.83238,0.0015248,0.0015248,0.0015248
74,263.482,0.35226,0.29583,0.95706,0.99821,1,0.995,0.96013,0.30248,0.23842,0.84488,0.0015182,0.0015182,0.0015182
75,266.969,0.34351,0.2885,0.94578,0.99836,1,0.995,0.98028,0.27407,0.25714,0.81912,0.0015116,0.0015116,0.0015116
76,270.56,0.35883,0.29968,0.95186,0.99817,1,0.995,0.97589,0.27124,0.24758,0.81263,0.001505,0.001505,0.001505
77,274.119,0.34618,0.28075,0.93194,0.99814,1,0.995,0.98657,0.24661,0.22467,0.80937,0.0014984,0.0014984,0.0014984
78,277.944,0.33875,0.28468,0.96749,0.99815,1,0.995,0.96535,0.25398,0.20793,0.7961,0.0014918,0.0014918,0.0014918
79,281.473,0.33058,0.26568,0.93331,0.99813,1,0.995,0.99073,0.23288,0.20212,0.78968,0.0014852,0.0014852,0.0014852
80,285.179,0.34989,0.28927,0.94992,0.99819,1,0.995,0.97444,0.26815,0.2164,0.80191,0.0014786,0.0014786,0.0014786
81,288.693,0.3389,0.27107,0.95086,0.99821,1,0.995,0.98075,0.23745,0.19657,0.78815,0.001472,0.001472,0.001472
82,292.334,0.32253,0.29578,0.93398,0.9982,1,0.995,0.95687,0.28257,0.23752,0.83932,0.0014654,0.0014654,0.0014654
83,296.529,0.34102,0.27377,0.95733,0.9979,1,0.995,0.96207,0.25425,0.23347,0.79309,0.0014588,0.0014588,0.0014588
84,300.791,0.33745,0.27005,0.93067,0.99804,1,0.995,0.97583,0.25841,0.20888,0.80917,0.0014522,0.0014522,0.0014522
85,304.409,0.33798,0.27067,0.9478,0.99812,1,0.995,0.97362,0.25534,0.19507,0.81077,0.0014456,0.0014456,0.0014456
86,307.921,0.3083,0.26006,0.93281,0.99816,1,0.995,0.95218,0.29354,0.22728,0.81818,0.001439,0.001439,0.001439
87,311.464,0.3448,0.28245,0.95382,0.99805,1,0.995,0.98023,0.2358,0.20526,0.78763,0.0014324,0.0014324,0.0014324
88,315.231,0.31257,0.25164,0.92795,0.99753,1,0.995,0.99124,0.21439,0.19007,0.77344,0.0014258,0.0014258,0.0014258
89,318.776,0.32448,0.26799,0.95958,0.99816,1,0.995,0.98279,0.24363,0.20343,0.78229,0.0014192,0.0014192,0.0014192
90,322.337,0.32409,0.2563,0.92388,0.99811,1,0.995,0.97981,0.20871,0.18883,0.76783,0.0014126,0.0014126,0.0014126
91,325.68,0.33925,0.2761,0.94986,0.99809,1,0.995,0.9856,0.2134,0.1921,0.77456,0.001406,0.001406,0.001406
92,329.369,0.34639,0.28584,0.96129,0.99817,1,0.995,0.96176,0.27057,0.22967,0.82313,0.0013994,0.0013994,0.0013994
93,333.509,0.29683,0.2523,0.90783,0.99818,1,0.995,0.96278,0.2735,0.21436,0.82454,0.0013928,0.0013928,0.0013928
94,337.223,0.3455,0.28089,0.94945,0.99817,1,0.995,0.97594,0.2482,0.21706,0.82805,0.0013862,0.0013862,0.0013862
95,341.187,0.33346,0.26971,0.94663,0.99812,1,0.995,0.96924,0.21722,0.20145,0.81482,0.0013796,0.0013796,0.0013796
96,344.592,0.32449,0.26295,0.93704,0.99814,1,0.995,0.96458,0.27818,0.21015,0.85268,0.001373,0.001373,0.001373
97,347.868,0.34214,0.27709,0.96134,0.99813,1,0.995,0.97947,0.22373,0.21088,0.80222,0.0013664,0.0013664,0.0013664
98,351.487,0.3109,0.25028,0.92723,0.9981,1,0.995,0.98275,0.23791,0.21214,0.79322,0.0013598,0.0013598,0.0013598
99,354.854,0.29825,0.25376,0.92635,0.99818,1,0.995,0.98008,0.21539,0.20166,0.77867,0.0013532,0.0013532,0.0013532
100,358.602,0.30345,0.24977,0.94052,0.99824,1,0.995,0.97238,0.25027,0.20519,0.80865,0.0013466,0.0013466,0.0013466
101,362.383,0.31183,0.2551,0.95307,0.99821,1,0.995,0.96373,0.2824,0.22302,0.83181,0.00134,0.00134,0.00134
102,366.15,0.29819,0.24585,0.92365,0.99819,1,0.995,0.97861,0.25169,0.20921,0.79857,0.0013334,0.0013334,0.0013334
103,369.684,0.29789,0.23547,0.93075,0.99819,1,0.995,0.98155,0.24121,0.21175,0.79438,0.0013268,0.0013268,0.0013268
104,374.207,0.29529,0.23948,0.92438,0.9982,1,0.995,0.9888,0.25581,0.20674,0.82415,0.0013202,0.0013202,0.0013202
105,378.342,0.30114,0.25526,0.9407,0.99818,1,0.995,0.96757,0.28381,0.2207,0.83218,0.0013136,0.0013136,0.0013136
106,382.666,0.31307,0.2572,0.93997,0.99807,1,0.995,0.98798,0.24311,0.19994,0.80701,0.001307,0.001307,0.001307
107,386.695,0.31076,0.2534,0.93198,0.99813,1,0.995,0.98296,0.24306,0.20246,0.79444,0.0013004,0.0013004,0.0013004
108,390.974,0.31035,0.24999,0.91496,0.99819,1,0.995,0.98693,0.21457,0.18688,0.77353,0.0012938,0.0012938,0.0012938
109,394.859,0.33472,0.25602,0.94262,0.99823,1,0.995,0.98492,0.22183,0.20555,0.77989,0.0012872,0.0012872,0.0012872
